name,rank,year,company_founded,company_name,company_relationship,company_sector,company_type,demographics_age,demographics_gender,location_citizenship,location_country_code,location_gdp,location_region,wealth_type,wealth_worth_in_billions,wealth_how_category,wealth_how_from_emerging,wealth_how_industry,wealth_how_inherited,wealth_how_was_founder,wealth_how_was_political
 John Malone ,177,"2,014.00","1,968.00", Tele-Communications Inc , CEO , telecommunications , merger ,72, male , United States , USA , -   , North America , executive ,7.5, Non-Traded Sectors , True , Media , nonin , True , True 
" John Menard, Jr. ",177,"2,014.00","1,972.00", Menards , founder , hardware stores , new ,74, male , United States , USA , -   , North America , fnf ,7.5, Non-Traded Sectors , True ," Retail, Restaurant ", nonin , True , True 
 Klaus Tschira ,177,"2,014.00","1,972.00", SAP AG , founder , software , new ,73, male , Germany , DEU , -   , Europe , fnf ,7.5, New Sectors , True , Technology-Computer , nonin , True , True 
 Leonard Lauder ,177,"2,014.00","1,946.00", Est?Lauder , relation , makeup , new ,80, male , United States , USA , -   , North America , inherited ,7.5, Traded Sectors , True , Consumer , father , True , True 
 Lee Seng Wee ,178,"1,996.00","1,919.00", Oversea-Chinese Banking Corporation , chairman , banking , new ,71, male , Singapore , SGP ,"96,400,967,339.00", East Asia , inherited ,2.1, Financial , True , Money Management , father , True , True 
 Jeffrey Koo Sr ,179,"1,996.00","1,930.00", Koos Group , relation ,, new , -   , male , Taiwan , Taiwan , -   , East Asia , inherited ,2.1, Financial , True , Money Management , 3rd generation , True , True 
 Den Fujita ,179,"2,001.00","1,971.00", McDonald's Japan , founder , restaurants , franchise ,75, male , Japan , JPN ,"4,160,000,000,000.00", East Asia , fnf ,2.6, Non-Traded Sectors , True ," Retail, Restaurant ", nonin , True , True 
 Klaus Tschira ,179,"2,001.00","1,972.00", SAP AG , founder , software , new ,60, male , Germany , DEU ,"1,950,000,000,000.00", Europe , fnf ,2.6, New Sectors , True , Technology-Computer , nonin , True , True 
 Thomas Schmidheiny ,179,"2,001.00","1,912.00", Holcim , relation , cement , new ,55, male , Switzerland , CHE ,"279,000,000,000.00", Europe , inherited ,2.6, Non-Traded Sectors , True , Constrution , 4th generation , True , True 
 Thaksin Shinawatra ,180,"1,996.00","1,986.00", Advanced Info Service , founder , mobile phones , new , -   , male , Thailand , THA ,"182,000,000,000.00", East Asia , privatized and resources ,2.1, Financial , True , Real Estate , nonin , True , True 
 Leonard Lauder ,181,"1,996.00","1,946.00", Est?Lauder , relation , makeup , new ,62, male , United States , USA ,"8,100,000,000,000.00", North America , inherited ,2.1, Traded Sectors , True , Consumer , father , True , True 
 Ronald Lauder ,182,"1,996.00","1,946.00", Est?Lauder , relation , makeup , new ,59, male , United States , USA ,"8,100,000,000,000.00", North America , inherited ,2.1, Traded Sectors , True , Consumer , father , True , True 
 Alan Gerry ,182,"2,001.00","1,956.00", Cablevision Industries , founder , media , new ,71, male , United States , USA ,"10,600,000,000,000.00", North America , fnf ,2.5, Non-Traded Sectors , True , Media , nonin , True , True 
 Bernard Ecclestone ,182,"2,001.00","1,974.00", Formula One Group , investor and  CEO , racing , aquired ,70, male , United Kingdom , GBR ,"1,530,000,000,000.00", Europe , executive ,2.5, -   , True , Other , nonin , True , True 
 David Rockefeller ,182,"2,001.00","1,870.00", Standard Oil , relation , oil , new ,85, male , United States , USA ,"10,600,000,000,000.00", North America , inherited ,2.5, Resource Related , True , Energy , 3rd generation , True , True 
 Eugenio Garza Lagnera ,182,"2,001.00","1,890.00", Femsa , relation , beverages , new , -   , male , Mexico , MEX ,"725,000,000,000.00", Latin America , inherited ,2.5, -   , True , -   , 3rd generation , True , True 
 Joan Kroc ,182,"2,001.00","1,940.00", McDonald's , relation , restaurants , new , -   , female , United States , USA ,"10,600,000,000,000.00", North America , inherited ,2.5, Non-Traded Sectors , True ," Retail, Restaurant ", spouse/widow , True , True 
 John Malone ,182,"2,001.00","1,968.00", Tele-Communications Inc , CEO , telecommunications , merger ,60, male , United States , USA ,"10,600,000,000,000.00", North America , executive ,2.5, Non-Traded Sectors , True , Media , nonin , True , True 
 Kerry Packer ,182,"2,001.00","1,936.00", Consolidated Press Holdings Limited , relation , media , aquired ,63, male , Australia , AUS ,"379,000,000,000.00", North America , inherited ,2.5, Non-Traded Sectors , True , Media , 3rd generation , True , True 
 Michael and Rainer Schmidt-Ruthenbeck ,182,"2,001.00","1,923.00", Metro AG , relation , retail , new , -   , male , Germany , DEU ,"1,950,000,000,000.00", Europe , inherited ,2.5, Non-Traded Sectors , True ," Retail, Restaurant ", 3rd generation , True , True 
 Mustafa Rahmi Koc ,182,"2,001.00","1,926.00", Koc Holding , relation ," energy, retail, manufacturing ", new ,70, male , Turkey , TUR ,"196,000,000,000.00", Middle East/North Africa , inherited ,2.5, Financial , True , Money Management , 3rd generation , True , True 
 Otto Beisheim ,182,"2,001.00","1,963.00", Metro AG , founder , groceries , new ,77, male , Germany , DEU ,"1,950,000,000,000.00", Europe , fnf ,2.5, Non-Traded Sectors , True ," Retail, Restaurant ", nonin , True , True 
 Robert Rowling ,182,"2,001.00","1,980.00", Tana Exploration Company , relation , oil , new ,47, male , United States , USA ,"10,600,000,000,000.00", North America , self-made finance ,2.5, Financial , True , Money Management , nonin , True , True 
 Takemitsu Takizaki ,182,"2,001.00","1,974.00", Keyence , founder , technology , new ,55, male , Japan , JPN ,"4,160,000,000,000.00", East Asia , fnf ,2.5, New Sectors , True , Technology-Computer , nonin , True , True 
 Ted Turner ,183,"1,996.00","1,970.00", CNN , founder , media , aquired ,57, male , United States , USA ,"8,100,000,000,000.00", North America , fnf ,2.1, Non-Traded Sectors , True , Media , nonin , True , True 
 Vincent Bollore ,183,"2,014.00","1,822.00", Bollore , relation , paper manufacturing/investment , new ,61, male , France , FRA , -   , Europe , inherited ,7.4, Financial , True , Diversified financial , 3rd generation , True , True 
 Michel Fribourg ,184,"1,996.00","1,813.00", Continental Grain Company , relation , comodities , new , -   , male , United States , USA ,"8,100,000,000,000.00", North America , inherited ,2.1, Traded Sectors , True , Consumer , 3rd generation , True , True 
 Jim Pattison ,184,"2,014.00","1,961.00", Jim Pattison Group , founder CEO owner , autos , new ,85, male , Canada , CAN , -   , North America , self-made finance ,7.3, Financial , True , Diversified financial , nonin , True , True 
 Michael Hartono ,184,"2,014.00","1,951.00", Djarum , relation , tobacco , new ,74, male , Indonesia , IDN , -   , East Asia , executive ,7.3, Traded Sectors , True , Consumer , nonin , True , True 
 Roberto Rocca ,185,"1,996.00","1,945.00", Techint , Chairman and Chief Executive Officer , steel , new , -   , male , Argentina , ARG ,"272,000,000,000.00", Latin America , self-made finance ,2, Financial , True , Diversified financial , nonin , True , True 
 Dirce Navarro Camargo ,186,"1,996.00","1,939.00", Camargo Correa Group , relation , construction , new , -   , female , Brazil , BRA ,"854,000,000,000.00", Latin America , inherited ,2, Non-Traded Sectors , True , Constrution , nonin , True , True 
 Augusto & Giorgio Perfetti ,186,"2,014.00","1,946.00", Perfetti Van Melle , relation , candy , new , -   , male , Italy , ITA , -   , Europe , inherited ,7.2, Traded Sectors , True , Consumer , father , True , True 
 Heinz Hermann Thiele ,186,"2,014.00","1,905.00", Knorr-Bremse AG , Chairman/shareholder , brake systems , new ,72, male , Germany , DEU , -   , Europe , executive ,7.2, Traded Sectors , True , Consumer , nonin , True , True 
 Johann Graf ,186,"2,014.00","1,980.00", Novomatic Automatenhandels AG , founder , gaming , new ,67, male , Austria , AUT , -   , Europe , fnf ,7.2, Non-Traded Sectors , True ," Retail, Restaurant ", nonin , True , True 
 Peter Woo ,186,"2,014.00","1,955.00", Worldwide Shipping Group , relation , real estate , new ,68, male , Hong Kong , HKG , -   , East Asia , inherited ,7.2, Financial , True , Real Estate , father , True , True 
 Alain Wertheimer ,187,"1,996.00","1,909.00", Chanel , relation , luxury goods , new , -   , male , France , FRA ,"1,610,000,000,000.00", Europe , inherited ,2, Traded Sectors , True , Consumer , 3rd generation , True , True 
 Jacques Servier ,188,"1,996.00","1,954.00", Laboratories Servier , founder , pharmaceuticals , new , -   , male , France , FRA ,"1,610,000,000,000.00", Europe , self-made finance ,2, Financial , True , Diversified financial , nonin , True , True 
 Verspieren family ,189,"1,996.00","1,880.00", Verspieren ,, insurance , new , -   ,, France , FRA ,"1,610,000,000,000.00", Europe , inherited ,2, Traded Sectors , True , Non-consumer industrial , 5th generation or longer , True , True 
 Alfred von Oppenheim ,190,"1,996.00","1,789.00", ?Sal. Oppenheim , relation , banking , new , -   , male , Germany , DEU ,"2,500,000,000,000.00", Europe , inherited ,2, Financial , True , Money Management , 4th generation , True , True 
 He Xiangjian ,190,"2,014.00","1,968.00", Midea , founder , appliances , new ,71, male , China , CHN , -   , East Asia , fnf ,7.1, Traded Sectors , True , Consumer , nonin , True , True 
 Peter Woo ,191,"1,996.00","1,955.00", Worldwide Shipping Group , relation , real estate , new ,50, male , Hong Kong , HKG ,"160,000,000,000.00", East Asia , inherited ,2, Financial , True , Real Estate , father , True , True 
 Dietmar Hopp ,191,"2,014.00","1,972.00", SAP AG , founder , software , new ,73, male , Germany , DEU , -   , Europe , fnf ,7, New Sectors , True , Technology-Computer , nonin , True , True 
 Eyal Ofer ,191,"2,014.00","1,950.00", Zodiac Maritime Agencies , relation , shipping , new ,63, male , Israel , ISR , -   , Middle East/North Africa , inherited ,7, Financial , True , Real Estate , father , True , True 
 Graeme Hart ,191,"2,014.00","1,987.00", Rank Group , founder , private equity , new ,58, male , New Zealand , NZL , -   , North America , self-made finance ,7, Financial , True , Diversified financial , nonin , True , True 
 Kumar Birla ,191,"2,014.00","1,857.00", Aditya Birla Group , relation , cement , new ,46, male , India , IND , -   , South Asia , inherited ,7, Resource Related , True , Mining and metals , 4th generation , True , True 
 Ralph Lauren ,191,"2,014.00","1,967.00", Ralph Lauren , founder , clothing , new ,74, male , United States , USA , -   , North America , fnf ,7, Traded Sectors , True , Consumer , nonin , True , True 
 Djuhar Sutanto ,192,"1,996.00","1,952.00", Salim Group , founder , consumer goods , new , -   , male , Indonesia , IDN ,"227,000,000,000.00", East Asia , self-made finance ,2, Financial , True , Diversified financial , nonin , True , True 
 Theodore Arison ,193,"1,996.00","1,972.00", Carnival Corporation , relation , banking , new , -   , female , Israel , ISR ,"109,000,000,000.00", Middle East/North Africa , inherited ,2, Non-Traded Sectors , True ," Retail, Restaurant ", father , True , True 
 Luciano Benetton ,194,"1,996.00","1,965.00", Benetton Group , founder , fashion , new ,60, male , Italy , ITA ,"1,310,000,000,000.00", Europe , fnf ,2, Traded Sectors , True , Consumer , nonin , True , True 
 Henry Nicholas ,194,"2,001.00","1,991.00", Broadcom Corporation , founder , semiconductors , new ,39, male , United States , USA ,"10,600,000,000,000.00", North America , fnf ,2.4, New Sectors , True , Technology-Computer , nonin , True , True 
 Laurence Tisch ,194,"2,001.00","1,946.00", Loews Corporation , founder , retail , new , -   , male , United States , USA ,"10,600,000,000,000.00", North America , fnf ,2.4, Traded Sectors , True , Consumer , nonin , True , True 
 Leonard Stern ,194,"2,001.00","1,932.00", Hartz Group , relation ," pet supplies, real estate ", new ,62, male , United States , USA ,"10,600,000,000,000.00", North America , inherited ,2.4, Financial , True , Real Estate , father , True , True 
 Mikhail Khodorkovsky ,194,"2,001.00","1,993.00", Yukos , Chairman and Chief Executive Officer , oil , privatization ,37, male , Russia , RUS ,"307,000,000,000.00", Europe , privatized and resources ,2.4, Resource Related , True , Energy , nonin , True , True 
 Emilio Azcarraga Jean ,195,"1,996.00","1,955.00", Grupo Televisa , relation , media , new ,28, male , Mexico , MEX ,"397,000,000,000.00", Latin America , inherited ,2, Non-Traded Sectors , True , Media , father , True , True 
 John Gokongwei ,196,"1,996.00","1,957.00", JG Summit Holdings , founder , manufacturing , new , -   , male , Philippines , PHL ,"82,848,194,406.00", East Asia , self-made finance ,2, Financial , True , Diversified financial , nonin , True , True 
 Charles Cadogan ,196,"2,014.00","1,712.00", Cadogan Estates , relation , real estate , new ,76, male , United Kingdom , GBR , -   , Europe , inherited ,6.9, Financial , True , Real Estate , 5th generation or longer , True , True 
 Eli Broad ,196,"2,014.00","1,957.00"," Kaufman and Broad, SunAmerica ", founder , construction/insurance , new/aquired ,80, male , United States , USA , -   , North America , self-made finance ,6.9, Financial , True , Diversified financial , nonin , True , True 
 Richard DeVos ,196,"2,014.00","1,959.00", Amway , founder , consumer goods , new ,88, male , United States , USA , -   , North America , fnf ,6.9, Traded Sectors , True , Consumer , nonin , True , True 
 Suleiman Kerimov ,196,"2,014.00","1,989.00", Gazprom , investor , oil , state owned enterprise ,47, male , Russia , RUS , -   , Europe , privatized and resources ,6.9, Financial , True , Diversified financial , nonin , True , True 
 Wei Jianjun ,196,"2,014.00","1,984.00", Great Wall Motors , chairman , autos , privatization ,50, male , China , CHN , -   , East Asia , privatized and resources ,6.9, Traded Sectors , True , Consumer , nonin , True , True 
 Yang Huiyan ,196,"2,014.00","1,997.00", Country Garden Holdings , relation , property development , new ,32, female , China , CHN , -   , East Asia , inherited ,6.9, Financial , True , Real Estate , father , True , True 
 Henry Sy ,197,"1,996.00","1,960.00", SM Malls , founder , retail , new ,71, male , Philippines , PHL ,"82,848,194,406.00", East Asia , fnf ,2, Non-Traded Sectors , True ," Retail, Restaurant ", nonin , True , True 
 Manuel Villar ,198,"1,996.00","1,975.00", C&P Homes , founder , real estate , new , -   , male , Philippines , PHL ,"82,848,194,406.00", East Asia , self-made finance ,2, Financial , True , Real Estate , nonin , True , True 
 George Kaiser ,198,"2,001.00","1,940.00", Kaiser-Francis Oil Company , relation , oil , new ,58, male , United States , USA ,"10,600,000,000,000.00", North America , inherited ,2.3, Resource Related , True , Energy , father , True , True 
 Gordon Getty ,198,"2,001.00","1,904.00", Getty  , relation , oil , new ,60, male , United States , USA ,"10,600,000,000,000.00", North America , inherited ,2.3, Resource Related , True , Energy , father , True , True 
 Henry Samueli ,198,"2,001.00","1,991.00", Broadcom Corporation , founder , semiconductors , new ,46, male , United States , USA ,"10,600,000,000,000.00", North America , fnf ,2.3, New Sectors , True , Technology-Computer , nonin , True , True 
 Martin Bouygues ,198,"2,001.00","1,952.00", Bouygues S.A. , relation , construction , new ,49, male , France , FRA ,"1,380,000,000,000.00", Europe , inherited ,2.3, Non-Traded Sectors , True , Media , father , True , True 
 Ralph Lauren ,198,"2,001.00","1,967.00", Ralph Lauren , founder , clothing , new ,62, male , United States , USA ,"10,600,000,000,000.00", North America , fnf ,2.3, Traded Sectors , True , Consumer , nonin , True , True 
 Ray Hunt ,198,"2,001.00","1,934.00", Hunt Oil. Co , relation , oil , new ,58, male , United States , USA ,"10,600,000,000,000.00", North America , inherited ,2.3, Resource Related , True , Energy , father , True , True 
 Richard Schulze ,198,"2,001.00","1,966.00", Best Buy , founder , retail , new ,60, male , United States , USA ,"10,600,000,000,000.00", North America , fnf ,2.3, Non-Traded Sectors , True ," Retail, Restaurant ", nonin , True , True 
 Robert Bosch Jr ,198,"2,001.00","1,886.00", Robert Bosch GmbH , relation , auto engines , new ,73, male , Germany , DEU ,"1,950,000,000,000.00", Europe , inherited ,2.3, Traded Sectors , True , Consumer , father , True , True 
 Susan Thompson Buffett ,198,"2,001.00","1,962.00", Berkshire Hathaway , relation ,  Finance , new ,68, female , United States , USA ,"10,600,000,000,000.00", North America , inherited ,2.3, Traded Sectors , True , Consumer , spouse/widow , True , True 
 Terry Gou ,198,"2,001.00","1,974.00", Foxconn , founder , technology , new , -   , male , Taiwan , Taiwan , -   , East Asia , fnf ,2.3, New Sectors , True , Technology-Computer , nonin , True , True 
 William Davidson ,198,"2,001.00","1,932.00", Guardian Industries , relation , glass , new ,78, male , United States , USA ,"10,600,000,000,000.00", North America , executive ,2.3, Traded Sectors , True , Non-consumer industrial , nonin , True , True 
 Emilio Botin ,199,"1,996.00","1,857.00", Grupo Santander , relation , banking , new ,61, male , Spain , ESP ,"641,000,000,000.00", Europe , inherited ,2, Financial , True , Money Management , father , True , True 
 Thomas Schmidheiny ,200,"1,996.00","1,912.00", Holcim , relation , cement , new ,50, male , Switzerland , CHE ,"330,000,000,000.00", Europe , inherited ,2, Non-Traded Sectors , True , Constrution , 4th generation , True , True 
 George Lucas ,201,"1,996.00","1,971.00", Lucasfilm , founder , Star Wars , new ,51, male , United States , USA ,"8,100,000,000,000.00", North America , fnf ,2, Non-Traded Sectors , True , Media , nonin , True , True 
 Charles Koch ,202,"1,996.00","1,940.00", Koch industries , relation ,   Oil refining , new ,60, male , United States , USA ,"8,100,000,000,000.00", North America , inherited ,2, Resource Related , True , Energy , father , True , True 
 Chung Mong-Koo ,202,"2,014.00","1,967.00", Hyundai , relation , cars , new ,75, male , South Korea , KOR , -   , East Asia , inherited ,6.8, Traded Sectors , True , Consumer , father , True , True 
 Dustin Moskovitz ,202,"2,014.00","2,004.00", Facebook , founder , internet , new ,29, male , United States , USA , -   , North America , fnf ,6.8, New Sectors , True , Technology-Computer , nonin , True , True 
 Jan Koum ,202,"2,014.00","2,009.00", WhatsApp , founder , mobile app , new ,38, male , United States , USA , -   , North America , fnf ,6.8, New Sectors , True , Technology-Computer , nonin , True , True 
 David Koch ,203,"1,996.00","1,940.00", Koch industries , relation ,  Oil refining , new ,55, male , United States , USA ,"8,100,000,000,000.00", North America , inherited ,2, Resource Related , True , Energy , father , True , True 
 Lester Crown ,204,"1,996.00","1,919.00", General Dynamics , relation , aerospace and defense , new ,70, male , United States , USA ,"8,100,000,000,000.00", North America , inherited ,2, Financial , True , Money Management , father , True , True 
 Donald Bren ,205,"1,996.00","1,864.00", Irvine Company , owner , real estate , aquired ,63, male , United States , USA ,"8,100,000,000,000.00", North America , self-made finance ,2, Financial , True , Real Estate , nonin , True , True 
 Nassef Sawiris ,205,"2,014.00","1,950.00", Orascom , relation , construction , new ,53, male , Egypt , FIN , -   , Europe , inherited ,6.7, Non-Traded Sectors , True , Constrution , father , True , True 
 Nicky Oppenheimer ,205,"2,014.00","1,888.00", De Beers , relation , diamonds , new  ,68, male , South Africa , ZAF , -   , Sub-Saharan Africa , inherited ,6.7, Resource Related , True , Mining and metals , 3rd generation , True , True 
 Martha Ingram ,206,"1,996.00","1,946.00", Ingram Industries , relation , transportation , new ,60, female , United States , USA ,"8,100,000,000,000.00", North America , inherited ,2, Non-Traded Sectors , True ," Retail, Restaurant ", spouse/widow , True , True 
 James Goodnight ,207,"1,996.00","1,976.00", SAS institute , founder , software , new ,53, male , United States , USA ,"8,100,000,000,000.00", North America , fnf ,2, New Sectors , True , Technology-Computer , nonin , True , True 
 Takemitsu Takizaki ,207,"2,014.00","1,974.00", Keyence , founder , technology , new ,68, male , Japan , JPN , -   , East Asia , fnf ,6.6, New Sectors , True , Technology-Computer , nonin , True , True 
 Ray Hunt ,208,"1,996.00","1,934.00", Hunt Oil. Co , relation , oil , new ,53, male , United States , USA ,"8,100,000,000,000.00", North America , inherited ,2, Resource Related , True , Energy , father , True , True 
 James Packer ,208,"2,014.00","1,936.00", Consolidated Press Holdings Limited , relation , media , aquired ,46, male , Australia , AUS , -   , North America , inherited ,6.5, Financial , True , Real Estate , 3rd generation , True , True 
 Leonid Fedun ,208,"2,014.00","1,990.00", Lukoil , Vice President , oil , new ,57, male , Russia , RUS , -   , Europe , privatized and resources ,6.5, Resource Related , True , Energy , nonin , True , True 
 Micky Arison ,208,"2,014.00","1,972.00", Carnival Corporation , relation , cruises , new ,64, male , United States , USA , -   , North America , inherited ,6.5, Non-Traded Sectors , True ," Retail, Restaurant ", father , True , True 
 Oleg Deripaska ,208,"2,014.00","1,994.00", SibAl , founder , aluminum , new ,46, male , Russia , RUS , -   , Europe , privatized and resources ,6.5, Resource Related , True , Mining and metals , nonin , True , True 
 Laurence Tisch ,209,"1,996.00","1,946.00", Loews Corporation , founder , retail , new , -   , male , United States , USA ,"8,100,000,000,000.00", North America , fnf ,2, Traded Sectors , True , Consumer , nonin , True , True 
 Barbara Piasecka Johnson ,209,"2,001.00","1,886.00", Johnson & Johnson , relation , medical supplies , new ,64, female , United States , USA ,"10,600,000,000,000.00", North America , inherited ,2.2, New Sectors , True , Technology-Medical , spouse/widow , True , True 
 Bernard Sherman ,209,"2,001.00","1,959.00", Empire Laboratories , relation , pharmaceuticals , new ,59, male , Canada , CAN ,"733,000,000,000.00", North America , inherited ,2.2, New Sectors , True , Technology-Medical , father , True , True 
 David Duffield ,209,"2,001.00","1,987.00", PeopleSoft , founder , software , new ,60, male , United States , USA ,"10,600,000,000,000.00", North America , fnf ,2.2, New Sectors , True , Technology-Computer , nonin , True , True 
 Frank Lowy ,209,"2,001.00","1,960.00", Westfield Group , founder , shopping centers , new ,70, male , Australia , AUS ,"379,000,000,000.00", North America , self-made finance ,2.2, Financial , True , Real Estate , nonin , True , True 
 H Wayne Huizenga ,209,"2,001.00","1,968.00", Waste Management , founder , waste management , new ,63, male , United States , USA ,"10,600,000,000,000.00", North America , self-made finance ,2.2, Financial , True , -   , nonin , True , True 
 James Kim ,209,"2,001.00","1,969.00", Amkor , founder , semiconductors , new ,65, male , United States , USA ,"10,600,000,000,000.00", North America , fnf ,2.2, New Sectors , True , Technology-Computer , nonin , True , True 
 Jean-Claude Decaux ,209,"2,001.00","1,964.00", JCDecaux , founder , advertising , new ,63, male , France , FRA ,"1,380,000,000,000.00", Europe , fnf ,2.2, Non-Traded Sectors , True , Media , nonin , True , True 
 Maersk McKinney Moller ,209,"2,001.00","1,905.00", Maersk Group , relation , shipping , new ,87, male , Denmark , DNK ,"165,000,000,000.00", Europe , inherited ,2.2, Financial , True , Diversified financial , father , True , True 
 Martha Ingram ,209,"2,001.00","1,946.00", Ingram Industries , relation , transportation , new ,65, female , United States , USA ,"10,600,000,000,000.00", North America , inherited ,2.2, Non-Traded Sectors , True ," Retail, Restaurant ", spouse/widow , True , True 
 Nancy Walton Laurie ,209,"2,001.00","1,962.00", Walmart , relation ,  retail ,  new ,49, female , United States , USA ,"10,600,000,000,000.00", North America , inherited ,2.2, Non-Traded Sectors , True ," Retail, Restaurant ", father , True , True 
 Shiv Nadar ,209,"2,001.00","1,976.00", HCL , founder , technology , new ,55, male , India , IND ,"494,000,000,000.00", South Asia , fnf ,2.2, New Sectors , True , Technology-Computer , nonin , True , True 
 Tadahiro Yoshida ,209,"2,001.00","1,934.00", YKK , relation , zippers , new ,54, male , Japan , JPN ,"4,160,000,000,000.00", East Asia , inherited ,2.2, Traded Sectors , True , Consumer , father , True , True 
 Thomas Siebel ,209,"2,001.00","1,993.00", Siebel Systems , founder , software , new ,48, male , United States , USA ,"10,600,000,000,000.00", North America , fnf ,2.2, New Sectors , True , Technology-Computer , nonin , True , True 
 Preston Tisch ,210,"1,996.00","1,946.00", Loews Corporation , founder , retail , new ,69, male , United States , USA ,"8,100,000,000,000.00", North America , fnf ,2, Traded Sectors , True , Consumer , nonin , True , True 
 Shoji Uehara ,211,"1,996.00","1,912.00", Taisho Pharmaceutical , relation , pharmaceuticals , new , -   , male , Japan , JPN ,"4,710,000,000,000.00", East Asia , inherited ,1.9, New Sectors , True , Technology-Medical , father , True , True 
 Chaijudh Karnasuta ,212,"1,996.00","1,958.00", Italian-Thai development , founder , construction , new , -   , male , Thailand , THA ,"182,000,000,000.00", East Asia , privatized and resources ,1.9, Non-Traded Sectors , True , Constrution , nonin , True , True 
 Eva Gonda Rivera ,212,"2,014.00","1,890.00", FEMSA , relation , beverages , new , -   , female , Mexico , MEX , -   , Latin America , inherited ,6.4, Traded Sectors , True , Consumer , spouse/widow , True , True 
 Pansy Ho ,212,"2,014.00","1,962.00", Sociedade de Turismo e Divers?es de Macau , relation , gaming , new ,51, female , Hong Kong , HKG , -   , East Asia , inherited ,6.4, Financial , True , Real Estate , father , True , True 
 Quek Leng Chan ,212,"2,014.00","1,963.00", Hong Leong Financial Group , founder , financial services , new ,70, male , Malaysia , MYS , -   , East Asia , self-made finance ,6.4, Financial , True , Money Management , nonin , True , True 
 Sid Bass ,213,"1,996.00","1,919.00", Sid Richardson Gasoline Co , relation , oil , new ,53, male , United States , USA ,"8,100,000,000,000.00", North America , inherited ,1.9, Resource Related , True , Energy , father , True , True 
 Mary Alice Dorrance Malone ,214,"1,996.00","1,869.00", Campbell Soup , relation , soup , aquired ,46, female , United States , USA ,"8,100,000,000,000.00", North America , inherited ,1.9, Traded Sectors , True , Consumer , 3rd generation , True , True 
 David Geffen ,215,"1,996.00","1,970.00", Asylum Records/Geffen Records/Dreamworks , founder , entertainment , new ,53, male , United States , USA ,"8,100,000,000,000.00", North America , fnf ,1.9, Non-Traded Sectors , True , Media , nonin , True , True 
 Dannine Avara ,215,"2,014.00","1,968.00", Enterprise Products , relation , natural gas , new ,50, female , United States , USA , -   , North America , inherited ,6.3, Traded Sectors , True , Non-consumer industrial , father , True , True 
" Herbert Kohler, Jr. ",215,"2,014.00","1,873.00", Kohler Company , relation , manufacturing , new ,75, male , United States , USA , -   , North America , inherited ,6.3, Traded Sectors , True , Non-consumer industrial , 3rd generation , True , True 
 Ivan Glasenberg ,215,"2,014.00","1,974.00", Glencore Xstrata , CEO , mining , new ,57, male , Australia , AUS , -   , North America , privatized and resources ,6.3, Resource Related , True , Mining and metals , nonin , True , True 
 Milane Frantz ,215,"2,014.00","1,968.00", Enterprise Products , relation , natural gas , new ,44, female , United States , USA , -   , North America , inherited ,6.3, Traded Sectors , True , Non-consumer industrial , father , True , True 
 Paolo & Gianfelice Mario Rocca ,215,"2,014.00","1,945.00", Techint , relation , steel , new , -   , male , Italy , ITA , -   , Europe , inherited ,6.3, Traded Sectors , True , Non-consumer industrial , 3rd generation , True , True 
 Patrick Drahi ,215,"2,014.00","1,994.00", Altice , founder , telecommunications , new ,50, male , France , FRA , -   , Europe , fnf ,6.3, Non-Traded Sectors , True , Media , nonin , True , True 
 Randa Williams ,215,"2,014.00","1,968.00", Enterprise Products , relation , natural gas , new ,52, female , United States , USA , -   , North America , inherited ,6.3, Traded Sectors , True , Non-consumer industrial , father , True , True 
 Scott Duncan ,215,"2,014.00","1,968.00", Enterprise Products , relation , natural gas , new ,31, male , United States , USA , -   , North America , inherited ,6.3, Traded Sectors , True , Non-consumer industrial , father , True , True 
 William Wrigley ,216,"1,996.00","1,891.00", Wm Wrigley Jr. Company , relation , gum , new ,32, male , United States , USA ,"8,100,000,000,000.00", North America , inherited ,1.9, Traded Sectors , True , Consumer , 4th generation , True , True 
 John Simplot ,217,"1,996.00","1,929.00", J.R. Simplot Company , founder , agricultural products , new ,87, male , United States , USA ,"8,100,000,000,000.00", North America , fnf ,1.9, Traded Sectors , True , Consumer , nonin , True , True 
 Kerry Packer ,218,"1,996.00","1,936.00", Consolidated Press Holdings Limited , relation , media , aquired ,58, male , Australia , AUS ,"401,000,000,000.00", North America , inherited ,1.8, Non-Traded Sectors , True , Media , 3rd generation , True , True 
 Hasso Plattner ,219,"1,996.00","1,972.00", SAP AG , founder , software , new ,52, male , Germany , DEU ,"2,500,000,000,000.00", Europe , fnf ,1.8, New Sectors , True , Technology-Computer , nonin , True , True 
 Hugo Mann ,220,"1,996.00","1,938.00", Mann Mobilia , founder , furniture , new ,82, male , Germany , DEU ,"2,500,000,000,000.00", Europe , fnf ,1.8, Non-Traded Sectors , True ," Retail, Restaurant ", nonin , True , True 
 Lee Hon Chiu ,221,"1,996.00","1,920.00", Hysan Development , relation , real estate , new , -   , male , Hong Kong , HKG ,"160,000,000,000.00", East Asia , inherited ,1.8, Financial , True , Real Estate , father , True , True 
 Lorenzo Rossi di Montelera ,222,"1,996.00","1,863.00", Martini & Rossi , relation , beverages , new , -   , male , Italy , ITA ,"1,310,000,000,000.00", Europe , inherited ,1.8, Traded Sectors , True , Consumer , 4th generation , True , True 
